,delay_in_seconds,luminosity,avg_temperature,avg_atm_pressure,avg_humidity,avg_wind_speed,avg_rain,total_estradas,Month,Day,Hour
100,0,1,17.0,1022.0,36.0,1.0,0,0,3,21,15
101,0,0,10.0,1013.0,73.0,3.0,0,0,3,16,2
102,0,0,12.0,1020.0,70.0,1.0,0,5,11,15,23
103,59,1,16.0,1016.0,38.0,0.0,0,5,4,16,11
104,0,2,18.0,1011.0,84.0,0.0,0,5,6,16,20
105,267,1,32.0,1016.0,39.0,2.0,0,8,7,16,20
106,609,1,13.0,1019.0,82.0,1.0,0,5,11,12,10
107,0,0,19.0,1015.0,90.0,1.0,0,5,7,25,22
108,0,1,9.0,1021.0,68.0,2.0,0,5,11,14,8
109,139,1,15.0,1014.0,88.0,5.0,0,0,12,27,13
110,1234,1,18.0,1007.0,77.0,3.0,0,8,4,27,13
111,0,0,12.0,1020.0,86.0,0.0,0,5,6,28,1
112,0,0,11.0,1018.0,64.0,1.0,0,5,10,28,3
113,38,1,13.0,1026.0,82.0,1.0,0,0,3,11,13
114,0,1,18.0,1021.0,40.0,3.0,0,5,3,29,16
115,0,0,8.0,1021.0,87.0,1.0,0,0,3,22,3
116,0,0,12.0,1016.0,77.0,1.0,0,5,11,21,5
117,294,1,19.0,1019.0,41.0,1.0,0,7,5,3,12
118,0,1,18.0,1024.0,77.0,4.0,0,5,3,23,13
119,0,1,6.0,1024.0,69.0,0.0,0,2,11,28,10
120,0,0,5.0,1022.0,77.0,0.0,0,0,3,10,5
121,0,1,11.0,1024.0,75.0,1.0,0,0,3,2,10
122,0,1,20.0,1015.0,63.0,1.0,0,5,6,26,8
123,46,1,28.0,1018.0,53.0,1.0,0,6,6,14,15
124,0,0,18.0,1018.0,56.0,2.0,0,5,10,11,4
125,0,0,7.0,1010.0,91.0,1.0,0,5,4,30,6
126,998,0,10.0,1026.0,75.0,0.0,0,2,1,18,17
127,0,0,13.0,1018.0,94.0,0.0,0,5,5,8,0
128,0,0,8.0,1027.0,77.0,2.0,0,5,11,6,0
129,0,1,13.0,1016.0,92.0,0.0,0,5,6,19,7
130,0,0,18.0,1010.0,84.0,0.0,0,5,9,13,4
131,0,0,16.0,1022.0,91.0,1.0,0,5,9,27,3
132,112,1,20.0,1016.0,37.0,2.0,0,6,4,16,13
133,0,1,13.0,1015.0,93.0,3.0,0,0,1,31,15
134,1999,1,12.0,1012.0,91.0,1.0,0,9,4,22,9
135,0,0,11.0,1009.0,89.0,2.0,0,0,12,24,7
136,12477,0,9.0,1016.0,75.0,2.0,0,30,11,26,18
137,0,1,12.0,1012.0,67.0,4.0,0,5,4,30,11
138,0,0,12.0,1017.0,79.0,2.0,0,5,12,20,6
139,0,0,16.0,1021.0,80.0,1.0,0,5,6,9,2
140,2907,1,16.0,1024.0,55.0,2.0,0,13,9,21,9
141,1329,1,12.0,1019.0,88.0,6.0,0,11,5,12,9
142,152,0,25.0,1016.0,41.0,1.0,0,6,7,15,22
143,0,0,15.0,1021.0,78.0,1.0,0,5,9,19,0
144,0,0,10.0,1018.0,92.0,0.0,0,0,1,30,19
145,0,0,13.0,1012.0,67.0,4.0,0,5,4,15,6
146,9302,0,15.0,1018.0,70.0,0.0,0,27,11,10,18
147,0,1,20.0,1021.0,42.0,1.0,0,5,10,14,11
148,0,1,20.0,1024.0,64.0,0.0,0,5,7,8,10
149,0,1,22.0,1019.0,73.0,0.0,0,5,9,16,12
150,5025,0,9.0,1026.0,93.0,1.0,0,15,12,3,17
151,0,0,14.0,1018.0,90.0,0.0,0,5,9,18,2
152,923,1,13.0,1010.0,89.0,1.0,3,8,4,21,15
153,235,1,16.0,1022.0,41.0,1.0,0,6,12,16,16
154,0,1,20.0,1014.0,55.0,5.0,0,5,4,4,18
155,0,1,13.0,1025.0,77.0,3.0,0,0,3,10,15
156,33,1,18.0,1017.0,92.0,1.0,0,5,10,2,10
157,185,1,8.0,1019.0,93.0,1.0,0,6,5,3,7
158,1098,1,12.0,1015.0,73.0,2.0,0,8,11,24,14
159,1024,1,23.0,1021.0,46.0,0.0,0,8,9,20,17
160,0,0,7.0,1013.0,82.0,2.0,0,5,3,26,5
161,0,0,12.0,1011.0,91.0,0.0,0,0,1,25,2
162,0,0,10.0,1023.0,71.0,2.0,0,5,11,19,5
163,0,0,12.0,1022.0,77.0,2.0,0,5,10,23,6
164,549,1,17.0,1018.0,67.0,3.0,0,5,4,19,17
165,989,1,24.0,1019.0,26.0,2.0,0,10,10,13,14
166,10261,0,12.0,1024.0,56.0,2.0,0,28,12,15,18
167,4249,1,12.0,1019.0,88.0,0.0,0,15,4,19,9
168,0,0,11.0,1012.0,72.0,1.0,0,5,4,7,1
169,0,0,17.0,1011.0,90.0,0.0,0,5,9,15,2
170,0,2,8.0,1021.0,93.0,2.0,0,2,12,30,8
171,0,1,16.0,1025.0,53.0,3.0,0,5,3,24,15
172,0,1,15.0,1018.0,82.0,2.0,0,0,3,7,14
173,0,0,13.0,1022.0,82.0,1.0,0,5,6,6,4
174,317,1,11.0,1017.0,56.0,3.0,0,4,11,26,12
175,0,0,10.0,1020.0,87.0,1.0,0,0,3,2,2
176,1754,1,13.0,1030.0,54.0,0.0,0,12,11,6,12
177,0,2,15.0,1018.0,83.0,1.0,0,5,9,11,7
178,331,0,16.0,1015.0,58.0,1.0,0,9,4,7,21
179,2495,2,7.0,1026.0,70.0,2.0,0,11,12,17,8
180,0,0,17.0,1010.0,90.0,0.0,0,5,6,17,3
181,4388,0,16.0,1014.0,85.0,3.0,0,18,12,21,17
182,0,1,27.0,1017.0,52.0,0.0,0,5,7,17,20
183,0,0,11.0,1021.0,87.0,0.0,0,5,10,4,1
184,9680,0,12.0,1013.0,88.0,1.0,0,14,12,23,17
185,0,0,18.0,1016.0,62.0,0.0,0,5,6,26,0
186,0,0,17.0,1008.0,93.0,1.0,0,5,10,31,2
187,0,0,18.0,1019.0,58.0,2.0,0,5,6,25,3
188,0,1,13.0,1017.0,94.0,2.0,0,5,4,3,10
189,0,0,8.0,1017.0,92.0,1.0,0,5,5,11,5
190,0,0,17.0,1018.0,91.0,0.0,0,5,7,5,2
191,1882,1,20.0,1018.0,47.0,0.0,0,10,5,4,17
192,170,1,13.0,1023.0,61.0,3.0,0,5,11,29,15
193,0,0,27.0,1015.0,40.0,0.0,0,5,7,16,21
194,0,1,18.0,1014.0,67.0,2.0,0,5,6,2,10
195,0,0,13.0,1017.0,91.0,0.0,0,5,4,2,21
196,0,1,11.0,1020.0,90.0,0.0,0,5,6,28,6
197,3736,1,18.0,1014.0,49.0,3.0,0,18,7,19,18
198,1088,1,18.0,1022.0,63.0,1.0,0,8,10,23,12
199,2381,1,9.0,1013.0,62.0,2.0,0,14,11,22,9
200,915,1,16.0,1012.0,75.0,2.0,2,7,6,18,15
201,0,0,11.0,1018.0,93.0,0.0,0,0,2,1,22
202,0,1,18.0,1019.0,48.0,1.0,0,0,3,6,13
203,0,0,13.0,1019.0,82.0,1.0,0,5,4,13,22
204,0,0,15.0,1024.0,75.0,2.0,0,3,12,31,20
205,212,1,7.0,1022.0,93.0,1.0,0,6,3,23,7
206,0,0,7.0,1025.0,77.0,1.0,0,2,12,3,0
207,0,0,7.0,1015.0,73.0,0.0,0,2,11,26,2
208,0,0,15.0,1011.0,82.0,1.0,2,5,4,1,6
209,0,1,21.0,1019.0,66.0,1.0,0,5,7,2,11
210,0,1,14.0,1022.0,65.0,2.0,0,5,10,23,9
211,1072,1,11.0,1002.0,91.0,2.0,3,3,1,20,14
212,0,0,17.0,1012.0,90.0,0.0,0,5,9,15,0
213,0,0,12.0,1020.0,71.0,1.0,0,0,3,20,20
214,0,0,18.0,1017.0,59.0,2.0,0,5,9,22,21
215,0,0,4.0,1025.0,89.0,1.0,0,2,12,3,5
216,0,1,14.0,1024.0,82.0,2.0,0,5,3,23,10
217,0,0,18.0,1014.0,74.0,1.0,0,5,9,12,3
218,981,1,29.0,1018.0,45.0,2.0,0,6,7,14,19
219,0,0,9.0,1013.0,74.0,3.0,0,0,1,19,20
220,713,1,27.0,1021.0,39.0,2.0,0,8,6,9,13
221,0,0,14.0,1017.0,84.0,0.0,0,5,10,16,4
222,0,0,7.0,1018.0,83.0,1.0,0,5,5,2,5
223,133,1,22.0,1026.0,60.0,0.0,0,6,9,30,12
224,1308,1,11.0,1003.0,94.0,8.0,3,5,1,20,9
225,0,0,15.0,1000.0,93.0,0.0,0,5,10,30,2
226,0,1,18.0,1010.0,93.0,0.0,0,5,10,31,10
227,0,2,18.0,1019.0,77.0,0.0,0,5,7,3,20
228,0,0,14.0,1024.0,69.0,2.0,0,5,9,21,3
229,687,1,23.0,1013.0,60.0,0.0,2,8,6,11,19
230,0,0,10.0,1018.0,91.0,0.0,0,0,1,30,21
231,171,2,10.0,1021.0,81.0,1.0,0,6,10,22,7
232,4043,1,11.0,1022.0,79.0,1.0,0,7,10,22,8
233,3768,0,11.0,1025.0,94.0,2.0,0,12,12,9,19
234,5911,1,19.0,1017.0,47.0,0.0,0,18,4,8,18
235,0,0,11.0,1019.0,87.0,1.0,0,0,3,1,23
236,0,1,8.0,1024.0,69.0,2.0,0,2,12,19,9
237,2088,1,22.0,1009.0,73.0,1.0,0,11,9,14,14
238,0,1,18.0,1023.0,52.0,0.0,0,5,3,27,18
239,0,0,17.0,1018.0,65.0,1.0,0,5,7,10,2
240,0,0,12.0,1005.0,91.0,1.0,0,5,4,27,5
241,0,0,17.0,1018.0,44.0,2.0,0,5,10,12,7
242,109,1,19.0,1019.0,63.0,1.0,0,5,7,3,9
243,2961,1,20.0,1025.0,36.0,1.0,0,12,3,16,15
244,0,1,10.0,1020.0,93.0,1.0,0,2,12,1,14
245,0,0,18.0,1017.0,79.0,2.0,0,5,7,11,21
246,7536,1,20.0,1019.0,72.0,4.0,0,22,5,7,18
247,377,1,23.0,1021.0,71.0,2.0,0,6,10,18,14
248,0,1,9.0,1016.0,92.0,1.0,0,0,1,24,9
249,0,0,9.0,1004.0,91.0,3.0,1,0,1,20,4
250,0,1,16.0,1016.0,93.0,1.0,0,5,7,26,7
251,3625,0,13.0,1023.0,59.0,1.0,0,16,12,16,17
252,0,0,14.0,1007.0,93.0,1.0,0,5,10,29,6
253,0,0,8.0,1006.0,91.0,1.0,1,0,1,20,2
254,0,0,10.0,1026.0,92.0,1.0,0,0,3,11,23
255,173,1,13.0,1020.0,67.0,1.0,0,5,5,2,10
256,90,0,12.0,1010.0,92.0,0.0,2,0,2,2,22
257,0,0,18.0,997.0,93.0,4.0,0,5,10,29,23
258,314,1,16.0,1016.0,75.0,0.0,0,8,7,19,9
259,0,1,15.0,1024.0,58.0,0.0,0,5,3,24,17
260,36,0,14.0,1023.0,71.0,2.0,0,5,3,27,20
261,0,0,16.0,1017.0,93.0,0.0,0,5,7,19,6
262,0,0,4.0,1021.0,87.0,0.0,0,2,11,28,1
263,187,1,23.0,1020.0,43.0,0.0,0,5,10,11,13
264,0,0,17.0,1022.0,88.0,1.0,0,5,9,26,22
265,0,0,12.0,1010.0,91.0,0.0,2,5,10,28,22
266,0,1,18.0,1007.0,82.0,4.0,0,5,4,27,16
267,0,1,33.0,1016.0,17.0,1.0,0,5,7,16,13
268,0,0,10.0,1021.0,69.0,0.0,0,5,11,17,4
269,1266,1,23.0,1018.0,67.0,4.0,0,7,9,16,17
270,3848,1,22.0,1020.0,53.0,0.0,0,15,6,7,18
271,0,0,9.0,1027.0,90.0,0.0,0,3,12,10,23
272,0,0,18.0,1019.0,85.0,0.0,0,5,9,16,22
273,0,0,15.0,1018.0,93.0,0.0,0,5,7,22,4
274,0,0,10.0,1018.0,86.0,1.0,0,5,5,5,3
275,3499,1,21.0,1021.0,72.0,0.0,0,12,10,1,17
276,384,0,13.0,1007.0,85.0,1.0,0,7,5,9,0
277,0,0,16.0,1018.0,81.0,0.0,0,5,7,1,23
278,9288,1,18.0,1024.0,60.0,0.0,0,20,9,28,18
279,0,0,12.0,1017.0,92.0,0.0,0,5,4,3,0
280,0,0,16.0,1016.0,67.0,2.0,0,5,9,23,7
281,0,1,16.0,1022.0,49.0,0.0,0,5,6,6,9
282,0,0,17.0,1020.0,89.0,0.0,0,5,9,10,23
283,0,0,16.0,1021.0,83.0,0.0,0,5,6,9,3
284,0,0,14.0,1021.0,93.0,1.0,0,5,10,21,6
285,144,1,25.0,1014.0,44.0,3.0,0,6,9,23,15
286,241,1,10.0,1028.0,93.0,1.0,0,3,12,6,12
287,0,1,12.0,1013.0,85.0,0.0,0,5,5,10,20
288,0,1,26.0,1018.0,44.0,2.0,0,5,6,10,12
289,0,0,11.0,1020.0,74.0,2.0,0,5,11,16,4
290,0,0,17.0,1014.0,64.0,1.0,0,5,7,11,5
291,0,0,7.0,1021.0,93.0,2.0,0,0,3,22,4
292,2614,1,13.0,1021.0,64.0,2.0,0,8,11,15,10
293,0,0,6.0,1016.0,78.0,1.0,0,5,11,24,5
294,2447,1,13.0,1008.0,89.0,1.0,0,13,4,26,9
295,0,0,10.0,1024.0,92.0,1.0,0,0,3,11,6
296,1002,1,19.0,1017.0,65.0,0.0,0,12,11,9,16
297,0,0,11.0,1015.0,92.0,1.0,0,5,11,2,2
298,0,0,9.0,1015.0,86.0,1.0,0,5,5,10,22
299,10304,1,26.0,1020.0,45.0,3.0,0,31,6,9,18
300,3072,1,26.0,1009.0,33.0,0.0,0,13,3,31,18
301,1134,0,8.0,1024.0,93.0,1.0,0,8,11,29,22
302,1632,1,13.0,1015.0,93.0,1.0,2,9,12,7,13
303,5690,1,13.0,1006.0,91.0,2.0,2,19,10,29,16
304,1002,0,13.0,1016.0,54.0,5.0,0,5,3,19,20
305,0,0,11.0,1021.0,72.0,2.0,0,5,10,23,4
306,0,0,20.0,1020.0,60.0,2.0,0,5,6,24,22
307,0,0,9.0,1013.0,91.0,0.0,2,0,1,23,7
308,208,1,18.0,1019.0,53.0,1.0,0,5,11,14,15
309,2268,0,15.0,1008.0,91.0,1.0,2,5,10,31,0
310,0,1,14.0,1010.0,92.0,3.0,0,5,6,20,8
311,0,0,8.0,1028.0,83.0,1.0,0,5,11,5,23
312,0,0,14.0,1023.0,72.0,0.0,0,5,6,4,21
313,193,1,22.0,1022.0,66.0,1.0,0,5,10,19,10
314,0,0,17.0,1018.0,90.0,0.0,0,5,7,21,3
315,0,0,12.0,1016.0,60.0,1.0,0,5,4,17,2
316,0,0,13.0,1021.0,79.0,1.0,0,5,9,19,6
317,0,0,18.0,1022.0,82.0,1.0,0,5,10,20,0
318,0,0,7.0,1022.0,70.0,0.0,0,0,3,10,0
319,438,1,16.0,1015.0,69.0,2.0,0,7,4,9,12
320,38,1,20.0,1022.0,60.0,4.0,0,6,7,7,13
321,0,1,20.0,1018.0,52.0,4.0,0,5,7,4,15
322,0,0,18.0,1017.0,55.0,2.0,0,5,9,22,23
323,0,1,12.0,1027.0,57.0,0.0,0,0,1,18,11
324,1009,0,9.0,1026.0,67.0,2.0,0,5,12,18,22
325,0,2,8.0,1017.0,82.0,1.0,0,0,3,7,7
326,0,0,13.0,1019.0,69.0,0.0,2,5,4,13,4
327,0,0,12.0,1007.0,82.0,0.0,0,5,4,28,23
328,340,1,12.0,1015.0,84.0,1.0,0,7,12,20,13
329,2671,1,15.0,1015.0,84.0,0.0,0,8,12,27,15
330,0,0,13.0,1024.0,92.0,0.0,0,5,12,29,20
331,0,1,25.0,1020.0,44.0,0.0,0,5,6,24,12
332,79,2,23.0,1010.0,65.0,0.0,0,7,9,12,19
333,0,1,16.0,1016.0,68.0,0.0,0,5,6,26,6
334,895,2,14.0,1015.0,52.0,1.0,0,3,3,8,18
335,0,0,16.0,1021.0,69.0,2.0,0,5,10,7,6
336,0,0,16.0,1007.0,93.0,0.5,0,11,10,31,1
337,0,0,7.0,1014.0,90.0,1.0,0,0,3,8,3
338,2571,1,25.0,1011.0,91.0,1.0,0,9,9,13,17
339,0,1,13.0,1024.0,77.0,2.0,0,0,3,2,14
340,0,1,11.0,1011.0,91.0,1.0,3,5,4,10,8
341,0,0,14.0,1022.0,89.0,0.0,0,5,10,1,5
342,0,0,10.0,1021.0,74.0,2.0,0,5,11,17,1
343,0,0,1.0,1023.0,91.0,0.0,0,2,11,28,6
344,0,1,19.0,1016.0,77.0,2.0,0,5,4,3,13
345,421,1,32.0,1016.0,31.0,1.0,0,7,7,15,17
346,0,0,16.0,1018.0,93.0,0.0,0,5,9,17,5
347,0,0,14.0,1006.0,86.0,0.0,0,5,4,26,23
348,672,0,14.0,1015.0,85.0,2.0,0,3,12,22,20
349,52,1,19.0,1018.0,70.0,1.0,0,6,7,1,10
350,0,0,8.0,1015.0,92.0,0.0,0,0,1,24,6
351,0,0,12.0,1016.0,92.0,1.0,0,5,4,3,5
352,0,0,10.0,1020.0,100.0,1.0,0,5,5,4,1
353,235,1,16.0,1016.0,93.0,0.0,0,6,7,19,7
354,0,0,10.0,1021.0,83.0,1.0,0,0,3,2,5
355,0,1,15.0,1016.0,92.0,1.0,0,5,7,24,7
356,0,0,18.0,1019.0,87.0,0.0,0,5,9,16,23
357,0,0,14.0,1010.0,90.0,0.0,0,5,4,24,21
358,162,1,15.0,1019.0,82.0,5.0,0,5,4,8,11
359,0,0,9.0,1017.0,87.0,0.0,0,5,5,11,0
360,0,1,19.0,1019.0,58.0,0.0,0,5,7,18,9
361,51,0,18.0,1021.0,74.0,1.0,0,6,9,19,20
362,1448,1,18.0,1010.0,65.0,4.0,0,8,4,23,16
363,237,1,17.0,1022.0,93.0,1.0,0,7,10,20,11
364,0,0,14.0,1011.0,92.0,0.0,0,5,6,18,4
365,0,0,18.0,1021.0,93.0,1.0,2,5,10,17,23
366,1235,1,16.0,1017.0,48.0,4.0,0,4,3,19,14
367,1278,1,9.0,1008.0,92.0,0.0,0,10,4,29,8
368,1270,1,15.0,1012.0,71.0,1.0,0,9,6,18,14
369,285,1,23.0,1018.0,51.0,0.0,0,6,6,25,8
370,0,0,5.0,1020.0,56.0,2.0,0,5,11,15,3
371,1398,1,10.0,1022.0,81.0,0.0,0,2,12,13,8
372,173,1,16.0,1016.0,93.0,1.0,0,6,7,23,9
373,1895,0,9.0,1016.0,81.0,0.0,0,10,11,26,20
374,0,0,12.0,1027.0,93.0,0.0,0,0,1,27,7
375,1847,0,12.0,1025.0,78.0,0.0,0,10,12,4,17
376,1316,1,18.0,1021.0,50.0,2.0,0,10,3,29,18
377,0,1,12.0,1020.0,55.0,1.0,0,5,4,18,8
378,2233,1,14.0,1016.0,87.0,1.0,0,6,12,27,16
379,0,1,14.0,1020.0,85.0,1.0,0,5,7,12,8
380,0,2,13.0,1010.0,92.0,0.0,0,5,6,20,20
381,0,1,12.0,1016.0,92.0,2.0,0,0,1,31,9
382,9887,0,15.0,1021.0,67.0,1.0,0,27,11,8,18
383,2776,0,14.0,1022.0,66.0,2.0,0,5,11,19,21
384,1328,1,15.0,1016.0,73.0,3.0,0,4,12,22,12
385,0,0,12.0,1014.0,94.0,2.0,0,5,11,1,3
386,0,0,10.0,1013.0,47.0,2.0,0,0,3,19,0
387,612,0,16.0,1008.0,90.0,1.0,0,5,10,30,21
388,0,0,12.0,1010.0,93.0,1.0,2,0,12,26,4
389,126,1,11.0,1010.0,91.0,1.0,2,0,1,21,10
390,0,1,26.0,1020.0,38.0,2.0,0,5,6,24,13
391,0,0,13.0,1017.0,63.0,0.0,0,5,4,6,0
392,119,1,17.0,1022.0,52.0,3.0,0,6,3,29,12
393,0,0,12.0,1009.0,92.0,1.0,0,5,6,20,4
394,442,1,14.0,1013.0,70.0,2.0,0,6,6,21,10
395,0,0,13.0,1026.0,66.0,1.0,0,5,9,30,4
396,0,0,15.0,1017.0,87.0,1.0,0,5,6,21,21
397,192,1,19.0,1019.0,55.0,4.0,0,6,5,3,13
398,0,1,15.0,1017.0,82.0,3.0,0,0,3,7,16
399,0,0,18.0,1027.0,72.0,1.0,0,5,9,29,21
400,0,0,20.0,1020.0,74.0,1.0,0,5,10,7,21
401,0,2,10.0,1019.0,86.0,1.0,2,5,4,13,7
402,0,0,10.0,1019.0,93.0,1.0,0,5,11,12,1
403,0,1,20.0,1022.0,35.0,3.0,0,5,7,13,13
404,0,0,18.0,1018.0,92.0,1.0,0,5,9,16,1
405,0,1,13.0,1011.0,89.0,3.0,0,5,4,10,13
406,0,1,19.0,1011.0,74.0,0.0,0,5,6,16,6
407,578,1,14.0,1022.0,63.0,3.0,0,6,5,11,13
408,0,0,19.0,1015.0,71.0,1.0,0,5,9,12,0
409,0,0,11.0,1023.0,98.0,1.0,0,2,11,29,0
410,0,0,18.0,1015.0,67.0,1.0,0,5,7,11,1
411,0,0,8.0,1012.0,81.0,2.0,0,5,11,22,5
412,0,0,11.0,1009.0,91.0,1.0,0,5,4,21,23
413,0,0,15.0,1018.0,93.0,0.0,0,5,9,17,6
414,172,0,13.0,1017.0,91.0,0.0,0,3,12,27,19
415,0,0,15.0,1012.0,74.0,2.0,0,5,4,15,0
416,0,0,16.0,1021.0,68.0,2.0,0,5,10,7,7
